Object, Count, Frequency
tried, 189, 0.00034313
rose, 189, 0.00034313
talking, 189, 0.00034313
wished, 189, 0.00034313
several, 188, 0.00034131
fellow, 188, 0.00034131
since, 188, 0.00034131
ah, 188, 0.00034131
death, 188, 0.00034131
movement, 187, 0.00033950
wish, 187, 0.00033950
soldier, 187, 0.00033950
beside, 185, 0.00033587
end, 184, 0.00033405
each, 182, 0.00033042
wanted, 182, 0.00033042
turning, 181, 0.00032861
remained, 180, 0.00032679
small, 179, 0.00032497
noticed, 179, 0.00032497
given, 179, 0.00032497
anyone, 179, 0.00032497
impossible, 178, 0.00032316
heart, 177, 0.00032134
nor, 177, 0.00032134
arms, 176, 0.00031953
longer, 176, 0.00031953
past, 175, 0.00031771
arm, 175, 0.00031771
far, 174, 0.00031590
forward, 174, 0.00031590
till, 174, 0.00031590
around, 173, 0.00031408
matter, 173, 0.00031408
home, 173, 0.00031408
woman, 172, 0.00031227
possible, 172, 0.00031227
dinner, 172, 0.00031227
thousand, 171, 0.00031045
seeing, 171, 0.00031045
large, 171, 0.00031045
news, 171, 0.00031045
became, 170, 0.00030864
few, 170, 0.00030864
happened, 168, 0.00030500
friend, 168, 0.00030500
spoke, 168, 0.00030500
pierre's, 167, 0.00030319
conversation, 167, 0.00030319
half, 166, 0.00030137
tears, 166, 0.00030137
russia, 166, 0.00030137
ready, 165, 0.00029956
cannot, 164, 0.00029774
trying, 164, 0.00029774
silent, 164, 0.00029774
world, 163, 0.00029593
coming, 163, 0.00029593
better, 163, 0.00029593
gone, 162, 0.00029411
find, 162, 0.00029411
bolkonski, 161, 0.00029230
sound, 160, 0.00029048
itself, 160, 0.00029048
rostovs, 160, 0.00029048
strange, 159, 0.00028866
faces, 159, 0.00028866
adjutant, 159, 0.00028866
set, 158, 0.00028685
else, 158, 0.00028685
standing, 158, 0.00028685
history, 157, 0.00028503
terrible, 157, 0.00028503
honor, 157, 0.00028503
met, 157, 0.00028503
full, 156, 0.00028322
speaking, 156, 0.00028322
times, 154, 0.00027959
fact, 154, 0.00027959
almost, 154, 0.00027959
light, 154, 0.00027959
soul, 154, 0.00027959
hair, 153, 0.00027777
answered, 153, 0.00027777
glanced, 153, 0.00027777
kept, 150, 0.00027233
smiled, 150, 0.00027233
free, 150, 0.00027233
myself, 148, 0.00026869
afraid, 148, 0.00026869
tone, 147, 0.00026688
reply, 147, 0.00026688
known, 147, 0.00026688
ever, 146, 0.00026506
reached, 146, 0.00026506
russians, 146, 0.00026506
returned, 146, 0.00026506
above, 146, 0.00026506
village, 146, 0.00026506
cause, 146, 0.00026506
repeated, 146, 0.00026506
different, 145, 0.00026325
smiling, 144, 0.00026143
women, 144, 0.00026143
answer, 143, 0.00025962
field, 143, 0.00025962
voices, 143, 0.00025962
less, 143, 0.00025962
won't, 143, 0.00025962
kind, 142, 0.00025780
together, 142, 0.00025780
mademoiselle, 142, 0.00025780
held, 142, 0.00025780
help, 141, 0.00025599
doing, 141, 0.00025599
brother, 141, 0.00025599
lost, 140, 0.00025417
hear, 140, 0.00025417
especially, 139, 0.00025235
often, 139, 0.00025235
state, 139, 0.00025235
self, 138, 0.00025054
quickly, 138, 0.00025054
family, 138, 0.00025054
helene, 138, 0.00025054
cold, 138, 0.00025054
certain, 137, 0.00024872
husband, 137, 0.00024872
red, 137, 0.00024872
steps, 137, 0.00024872
necessary, 137, 0.00024872
force, 136, 0.00024691
listened, 136, 0.00024691
please, 135, 0.00024509
staff, 135, 0.00024509
followed, 135, 0.00024509
bagration, 135, 0.00024509
sides, 135, 0.00024509
twenty, 135, 0.00024509
air, 135, 0.00024509
society, 134, 0.00024328
alpatych, 134, 0.00024328
bridge, 133, 0.00024146
sometimes, 133, 0.00024146
black, 133, 0.00024146
later, 133, 0.00024146
feel, 133, 0.00024146
used, 132, 0.00023965
merely, 131, 0.00023783
waiting, 130, 0.00023602
important, 130, 0.00023602
command, 130, 0.00023602
immediately, 130, 0.00023602
read, 130, 0.00023602
glad, 129, 0.00023420
killed, 129, 0.00023420
girl, 129, 0.00023420
happiness, 129, 0.00023420
service, 129, 0.00023420
third, 129, 0.00023420
daughter, 128, 0.00023238
best, 128, 0.00023238
boy, 128, 0.00023238
high, 127, 0.00023057
either, 127, 0.00023057
remember, 127, 0.00023057
present, 126, 0.00022875
someone, 126, 0.00022875
reason, 126, 0.00022875
fell, 125, 0.00022694
contrary, 125, 0.00022694
money, 125, 0.00022694
excellency, 124, 0.00022512
doctor, 124, 0.00022512
believe, 124, 0.00022512
bad, 124, 0.00022512
grew, 124, 0.00022512
pleasure, 124, 0.00022512
smoke, 124, 0.00022512
course, 123, 0.00022331
appeared, 123, 0.00022331
camp, 123, 0.00022331
open, 122, 0.00022149
become, 122, 0.00022149
hundred, 122, 0.00022149
thinking, 122, 0.00022149
fine, 122, 0.00022149
work, 121, 0.00021968
presence, 121, 0.00021968
clear, 121, 0.00021968
events, 121, 0.00021968
town, 121, 0.00021968
pale, 120, 0.00021786
mikhaylovna, 120, 0.00021786
loved, 120, 0.00021786
coat, 120, 0.00021786
former, 120, 0.00021786
historians, 120, 0.00021786
usual, 120, 0.00021786
says, 120, 0.00021786
true, 120, 0.00021786
affairs, 120, 0.00021786
holding, 120, 0.00021786
peasants, 119, 0.00021604
line, 119, 0.00021604
strength, 119, 0.00021604
alexander, 119, 0.00021604
moving, 119, 0.00021604
second, 119, 0.00021604
kissed, 119, 0.00021604
name, 119, 0.00021604
perhaps, 118, 0.00021423
years, 118, 0.00021423
short, 118, 0.00021423
bed, 118, 0.00021423
law, 118, 0.00021423
thoughts, 118, 0.00021423
expressed, 118, 0.00021423
prisoners, 117, 0.00021241
carriage, 117, 0.00021241
yourself, 117, 0.00021241
attention, 117, 0.00021241
frightened, 117, 0.00021241
across, 116, 0.00021060
opened, 116, 0.00021060
military, 116, 0.00021060
bourienne, 116, 0.00021060
natasha's, 115, 0.00020878
everybody, 115, 0.00020878
lips, 114, 0.00020697
ordered, 114, 0.00020697
whose, 114, 0.00020697
ball, 114, 0.00020697
freedom, 114, 0.00020697
marya, 114, 0.00020697
pavlovna, 113, 0.00020515
study, 113, 0.00020515
besides, 112, 0.00020334
human, 112, 0.00020334
window, 112, 0.00020334
fear, 112, 0.00020334
drew, 112, 0.00020334
feet, 112, 0.00020334
show, 111, 0.00020152
led, 111, 0.00020152
peace, 110, 0.00019971
showed, 110, 0.00019971
making, 109, 0.00019789
he's, 109, 0.00019789
activity, 109, 0.00019789
angry, 109, 0.00019789
ground, 108, 0.00019607
close, 108, 0.00019607
rest, 108, 0.00019607
handsome, 108, 0.00019607
dark, 108, 0.00019607
four, 108, 0.00019607
borodino, 108, 0.00019607
able, 107, 0.00019426
shoulders, 107, 0.00019426
need, 107, 0.00019426
giving, 107, 0.00019426
turn, 107, 0.00019426
company, 107, 0.00019426
asking, 106, 0.00019244
i'm, 106, 0.00019244
children, 106, 0.00019244
hussars, 106, 0.00019244
